
央视高清,#genre#
CCTV14,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8
CCTV14,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8
CCTV14,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8
CCTV14,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8
CCTV15,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CCTV-15/G_CCTV-15.m3u8
CCTV15,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_CCTV-15/G_CCTV-15.m3u8
CCTV15,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_CCTV-15/G_CCTV-15.m3u8
CCTV16,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-16-HQ/G_CCTV-16-HQ.m3u8
CCTV17,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8
CCTV17,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8
CCTV17,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8
CCTV17,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8
CCTV17,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8
CGTN,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
CGTN,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
CGTN,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
中国教育1台,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_CETV-1/G_CETV-1.m3u8
中国教育1台,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CETV-1/G_CETV-1.m3u8
中国教育1台,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_CETV-1/G_CETV-1.m3u8
中国教育2台,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_CETV-2/G_CETV-2.m3u8
中国教育2台,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CETV-2/G_CETV-2.m3u8
中国教育3台,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CETV-3/G_CETV-3.m3u8
